MSR,Customer Name,Products
KE-DCV-5,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS
KE-DCV-5,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS
KE-DCV-5,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS
KE-DCV-5,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-G.MED-3-2,A G PHARMACEUTICAL,APROVASC 150/5
KE-G.MED-3-2,A G PHARMACEUTICAL,APROVASC 300/5
KE-DCV-5,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-5,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE
CHC-NP,A G PHARMACEUTICAL,BISOLVON LINCTUS 200ML 
CHC-NP,A G PHARMACEUTICAL,BRONCHICUM 6.64G/+ ELIX BTX1 XE
KE-CHC-5,A G PHARMACEUTICAL,BUSCOPAN PLUS TABLETS * 50's
KE-CHC-5,A G PHARMACEUTICAL,BUSCOPAN TABLETS BP 10mg * 50's
KE-DCV-5,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-CHC-5,A G PHARMACEUTICAL,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-1,A G PHARMACEUTICAL,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-2,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-2,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10
KE-G.MED-3-2,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T
KE-G.MED-3-2,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
CHC-NP,A G PHARMACEUTICAL,ERCEFURYL 200MG CAP BL2X14
CHC-NP,A G PHARMACEUTICAL,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX
KE-G.MED-4-1,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-1,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML
KE-DCV-5,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
GEM-NP,A G PHARMACEUTICAL,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,A G PHARMACEUTICAL,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,A G PHARMACEUTICAL,MAALOX PLUS TABS EXPORT 10
CHC-NP,A G PHARMACEUTICAL,MAALOX SUSPENSION 350ML (EXPORT)
GEM-NP,A G PHARMACEUTICAL,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD
KE-CHC-1,A G PHARMACEUTICAL,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
