country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,Harleys,,"AMARYL 1MG 30 TABS",645820
KE,Harleys,,"AMARYL 2MG 30 TABS",645818
KE,Harleys,,"AMARYL 3MG 30'S",632896
KE,Harleys,,"AMARYL 4MG 30 TABS",645819
KE,Harleys,,"AMARYL M SR 2MG 30'S",321233
KE,Harleys,,"AMARYL MIR 2-500MG TABCO BL3X10 XE",307013
KE,Harleys,,"AMEDIN 10MG TABS 2X14",475652
KE,Harleys,,"AMEDIN 5MG TABS 2X14",475862
KE,Harleys,,"APIDRA SOLOSTAR 300IU INJ/5",380567
KE,Harleys,,"APROVASC 150/10",539185
KE,Harleys,,"APROVASC 150/5",539183
KE,Harleys,,"APROVASC 300/10",539181
KE,Harleys,,"APROVASC 300/5",539182
KE,Harleys,,"APROVEL 300MG TABCO BL2X14 RM M36 XE",196681
KE,Harleys,,"COAPROVEL 300-12.5MG TABCO BL2X14 RM XD",514930
KE,Harleys,,"COAPROVEL RM 150-12.5MG TABCO BL2X14 XD",515056
KE,Harleys,,"ASAQ 100MG TAB 25BLIX3 EX",373881
KE,Harleys,,"ASAQ 100MG TAB BL1X3 XD",373877
KE,Harleys,,"ASAQ 100MG TAB BL1X6 XD",373878
KE,Harleys,,"ASAQ 100MG TAB BL25X6 EX",338356
KE,Harleys,,"ASAQ 100MG TAB BL25X6 XD",373879
KE,Harleys,,"ASAQ 100MG TAB BLI25X3 XD",341781
KE,Harleys,,"ASAQ 25MG TAB 25BLIX3 EX",306725
KE,Harleys,,"ASAQ 25MG TAB BL1X3 XD",373875
KE,Harleys,,"ASAQ 25MG TAB BLI25X3 XD",213860
KE,Harleys,,"ASAQ 50MG TAB 25BLIX3 EX",1
KE,Harleys,,"ASAQ 50MG TAB BL1X3 XD",373876
KE,Harleys,,"ASAQ 50MG TAB BLI25X3 XD",222
KE,Harleys,,"ASPEGIC 1G/5ML INJPO BTX20 S3 M24 EX",477045
KE,Harleys,,"AXACEF 250MG TABCO BL1X10 M36 GH",475987
KE,Harleys,,"AXACEF 500MG TABCO BL1X10 M36 KE",475988
KE,Harleys,,"BIOFERON 305MG CAP 3X10",698116
KE,Harleys,,"BIOFERON 8G/200ML+ SYR BTX1 M30 EX",679090
KE,Harleys,,"BISOLVON LINCTUS 200ML",654229
KE,Harleys,,"BISOLVON TABLETS 8mg * 20's",651737
KE,Harleys,,"BRONCHICUM 6.64G/+ ELIX BTX1 XE",352016
KE,Harleys,,"BRUMED 2G/100ML SYR BTX1 M36 EX",476959
KE,Harleys,,"BRUMED 400MG TABSC BL10X10 M36 EX",476936
KE,Harleys,,"BUSCOPAN AMPOULES 20mg/1ml * 5's",652574
KE,Harleys,,"BUSCOPAN PLUS TABLETS * 50's",653030
KE,Harleys,,"BUSCOPAN TABLETS BP 10mg * 50's",651969
KE,Harleys,,"CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE",655022
KE,Harleys,,"CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE",655023
KE,Harleys,,"CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE",655024
KE,Harleys,,"CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE",655025
KE,Harleys,,"CORDARONE 200MG TAB BL3X10 S3 M36 XD",554510
KE,Harleys,,"Daonil 5 mg tablets 30'Export Ghana",371243
KE,Harleys,,"DULCOLAX TABLETS 5mg * 30's SugarC",693896
KE,Harleys,,"ELOXATINE* 100MG LYO 1FL VTE EX AMO S3",407096
KE,Harleys,,"ELOXATINE* 50MG LYO 1FL VTE EX AMO S3",370351
KE,Harleys,,"ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE",618677
KE,Harleys,,"EPILIM 12G/300ML SYR BTX1",641849
KE,Harleys,,"EPILIM 200MG TAB BL10X10",728129
KE,Harleys,,"EPILIM 400MG/4ML INJPO VL+S1 M60 XE",649635
KE,Harleys,,"EPILIM CHRONO 333-145MG T",730439
KE,Harleys,,"EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE",643215
KE,Harleys,,"ERCEFURYL 200MG CAP BL2X14",592593
KE,Harleys,,"ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX",671538
KE,Harleys,,"FLAGENTYL 500MG TABCO BL1X4 S3 XE",664051
KE,Harleys,,"FLAGYL 0.5% 100ML VIAFLEX (GFR)",67294
KE,Harleys,,"FLAGYL 400MG 100 TABS",645817
KE,Harleys,,"FLAGYL SUSPENSION 100ML",645815
KE,Harleys,,"FLEMING 1G-200MG INJPO VL5 M24 EX",476963
KE,Harleys,,"FLEMING 2.5G/+ INJPO BTX1 M24 EX",476006
KE,Harleys,,"FLEMING 2.8MG/70ML PO BTX1 M24 EX",476009
KE,Harleys,,"FLEMING 250-125MG TABCO BL2X10 M24 NG",475271
KE,Harleys,,"FLEMING 5.6G/70ML PO BTX1 M24 GH",477034
KE,Harleys,,"FLEMING 500-100MG INJPO VL10 M24 NG",477037
KE,Harleys,,"FLEMING 500-125MG TABCO BL2X7 M24 EX",477015
KE,Harleys,,"FLEMING 875-125MG TABCO BL2X7 M24 EX",476043
KE,Harleys,,"GUAMET 500MG TABCO BL2X14 M36 KE",390465
KE,Harleys,,"HISTACET 10MG TABCO BL2X10 M36 KE",390470
KE,Harleys,,"HISTACET 60MG/60ML SYR BTX1 M36 KE",264456
KE,Harleys,,"IBEX 200MG+ CAPEM BL2X12 M36 EX",476933
KE,Harleys,,"ALLSTAR MEDSU PEN1 XE",516219
KE,Harleys,,"LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE",241634
KE,Harleys,,"LANTUS SOLOSTAR 100IU/ML 3ML 5",615902
KE,Harleys,,"LANTUS VIAL 10MG 1",615926
KE,Harleys,,"LASIX 20MG/2ML INJ AM5 S3 M60 XE",518946
KE,Harleys,,"LASIX 40MG TAB BL2X10 SWI M60 XE",505579
KE,Harleys,,"Maalox 460mg/susp SC20 S3 M36 XE",292174
KE,Harleys,,"MAALOX PLUS SUSP 150ML",506742
KE,Harleys,,"MAALOX PLUS SUSPENSION 350ML (EXPORT)",507364
KE,Harleys,,"MAALOX PLUS TABS EXPORT 10",436418
KE,Harleys,,"MAALOX SUSPENSION 150ML (EXPORT)",506704
KE,Harleys,,"MAALOX SUSPENSION 350ML (EXPORT)",506739
KE,Harleys,,"MUCOSOLVAN L.A 75mg CAPSULES * 10's",653084
KE,Harleys,,"MUCOSOLVAN LIQUID 15mg/5ml * 100ml",651777
KE,Harleys,,"MUCOSOLVAN TABLETS 30mg * 20's",660193
KE,Harleys,,"NOSPA 40MG TAB BL10X10 S3",287552
KE,Harleys,,"NOSPA 40MG TAB BL2X10 XE",287550
KE,Harleys,,"NOSPA 40MG/2ML INJ AM25 XD",508116
KE,Harleys,,"NOSPA 40MG/2ML INJ AM5 XD",289138
KE,Harleys,,"NOSPA 80MG TAB BL2X10 S3",287553
KE,Harleys,,"ORELOX 100MG TABCO BL1X10",298689
KE,Harleys,,"ORELOX 200MG 10CP",374872
KE,Harleys,,"ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE",298693
KE,Harleys,,"ORELOX 800MG/+ GRAN BTX1",298691
KE,Harleys,,"PLAVIX 75MG TABCO BL2X14 M36 XE",544062
KE,Harleys,,"RESONIUM A 453.7G/+ POWD BTX1 M60 XE",258746
KE,Harleys,,"RHINATHIOL 10G/200ML SOL BTX1 XM",660724
KE,Harleys,,"RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM",660728
KE,Harleys,,"RHINATHIOL 6.25G/+ SYR BT",660727
KE,Harleys,,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",635227
KE,Harleys,,"RIFAFOUR E-275 TABS 84",275807
KE,Harleys,,"RIFINAH 150/75MG TABS 56'S",213847
KE,Harleys,,"RIFINAH 300-150MG TABSC BL2X20 ZA",99114
KE,Harleys,,"RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE",312451
KE,Harleys,,"ROXICEF 750MG INJPO VL1 M36 KE",476998
KE,Harleys,,"ROXICEF 750MG INJPO VL10 M36 KE",283389
KE,Harleys,,"STILNOX 10MG TABCO BL1X14 S3 M48 XD",636825
KE,Harleys,,"TARGOCID IV 400",692141
KE,Harleys,,"TARGOCID VIAL 200MG 2",263980
