country,distributor,distributor_customer_name,sanofi_customer_name
KE, highchem,MEDINA REMEDIES LTD,MEDINA REMEDIES LIMITED       
KE, surgipharm,CENTRE FOR HEART DISEASE AND DIABETES,CENTRE FOR HEART AND DISEASE & DIABETES - CASH
KE, surgipharm,MEDECINS SANS FRONTIERS-HOLLAN,MEDECINS SANS FRONTIERS-HOLLAN
KE, surgipharm,MITRA PHARMACEUTICALS,MITRA PHARMACEUTICALS - KAKAMEGA
KE, surgipharm,RELIANCE HOSPITAL LIMITED,RELIANCE HOSPITAL LIMITED     
KE, surgipharm,ZOEB PHARMACY,ZOEB PHARMACY-CASH
KE, laborex,SILOAM HOSPITAL               ,SILOAM HOSPITAL
KE, laborex,AFRICAN PHARMACEUTICALS LTD,AFRICAN PHARMACEUTICALS LTD
KE, laborex,RAPHA MEDICAL CENTER          ,RAPHA HOSPITAL
KE, laborex,MEDIMAX MEDICAL CENTRE LIMITED,MEDIMAX MEDICAL CENTRE LIMITED
KE, laborex,JAMBO MEDICAL CLINIC          ,JAMBO MEDICAL CLINIC - MOMBASA
KE, laborex,BOMA MEDICARE LTD             ,BOMA MEDICARE LTD
KE, laborex,MSF  KENYA FINANCE            ,MSF KENYA FINANCE
