country,distributor,distributor_customer_name,sanofi_customer_name
KE, surgipharm,DR S VAGHELA ,CASH SALE CUSTOMER
KE, surgipharm,EQUITY AFIA KAYOLE BURUBURU ,EQUITY AFIA LIMITED
KE, surgipharm,FIELD TECHNOLOGY DEVELOPMENT PARTNERS LTD ,FIELD TECHNOLOGY DEVELOPMENT PARTNERS LTD
KE, surgipharm,MIKIDANI MEDICAL CENTRE ,MIKINDANI MEDICAL CENTRE-MDS
KE, surgipharm,TWO FAMILIES LTD - WAIYAKI WAY ,TWO FAMILIES LIMITED - PHARMACY
KE, laborex,MEDINA REMEDIES LIMITED        ,MEDINA REMEDIES LIMITED       
KE, highchem,EASTLEIGH PHARMACEUTICALS ,EASTLEIGH PHARMACEUTICALS LTD
KE, highchem,MEDIHEAL SOURCING LIMITED ,MEDIHEAL SOURCING LIMITED
KE, highchem,COPTIC HOSPITAL ,COPTIC HOSPITAL
KE, surgipharm,MEDINA REMEDIES LTD ,MEDINA REMEDIES LIMITED       
KE, surgipharm,MOMBASA CANCER CENTRE LLP ,MOMBASA CANCER CENTRE LLP
KE, surgipharm,SAVANI MEDICAL CENTRE ,SAVANI MEDICAL CENTRE
KE,laborex,STAFF: ANTHONY DINGA           ,CASH SALE STAFF
